,1,2,3,4,5,6,7,8
0,175,175,11,10,171,179,180,177
1,173,174,11,10,172,179,180,179
2,172,173,11,9,173,178,180,180
3,173,174,11,10,174,177,180,180
4,176,176,11,11,176,177,178,180
5,176,176,12,11,176,177,177,180
6,177,175,13,11,176,177,175,180
7,177,174,14,10,174,178,176,179
8,176,173,13,10,174,178,178,180
9,175,174,13,9,174,177,179,180
10,173,174,12,9,173,176,179,180
11,172,174,12,8,174,175,180,177
12,171,174,11,8,175,171,180,171
13,172,173,10,8,174,168,180,165
14,173,173,11,6,173,166,178,162
15,173,174,11,6,173,167,178,163
16,173,174,11,6,173,169,179,168
17,173,174,11,6,174,171,179,174
18,173,173,11,7,174,172,180,175
19,172,172,12,7,175,172,180,175
20,172,171,11,7,174,172,180,176
21,173,173,9,7,174,174,180,178
22,170,173,10,7,174,176,180,179
23,169,174,10,8,173,177,180,179
24,170,174,9,8,173,177,180,179
25,171,174,9,9,173,177,180,179
26,173,173,9,9,174,177,180,179
27,173,173,9,9,174,176,179,179
28,173,173,9,9,175,176,177,179
29,173,173,9,9,174,177,177,179
30,173,173,10,10,174,177,179,179
31,172,173,10,9,173,177,180,180
32,172,174,10,9,174,176,180,180
33,172,176,10,8,174,175,179,180
34,173,178,10,8,175,175,180,180
35,173,178,9,7,175,175,180,180
36,173,178,9,7,174,175,180,180
37,172,177,9,8,174,174,180,179
38,171,176,9,8,175,172,180,175
39,172,174,9,8,174,169,180,169
40,173,172,10,8,174,166,180,165
41,173,174,11,7,174,168,180,166
42,175,175,12,5,172,173,179,172
43,176,175,13,4,172,176,180,178
44,175,173,13,4,173,176,180,180
45,175,172,13,7,174,175,180,180
46,176,171,13,8,174,175,180,180
47,178,172,12,10,174,174,180,179
48,179,171,13,9,173,176,180,179
49,180,171,13,9,173,176,179,179
50,180,173,13,9,172,177,180,178
51,179,174,13,9,172,177,180,179
52,178,173,12,8,172,177,180,179
53,178,173,12,9,172,177,180,180
54,178,175,12,10,172,177,180,180
55,177,178,12,11,172,177,179,180
56,176,178,12,10,172,177,179,180
57,176,177,11,9,173,177,179,180
58,177,176,9,8,174,177,177,180
59,177,177,9,9,176,176,175,180
60,176,179,10,11,176,175,176,180
61,178,177,10,12,177,175,176,180
62,179,176,10,13,178,174,176,180
63,179,173,10,12,177,175,178,180
64,180,172,10,11,175,176,179,180
65,180,171,9,10,174,176,180,180
66,179,171,8,9,173,176,180,180
67,178,171,7,8,172,176,178,180
68,174,174,7,8,173,173,179,176
69,172,176,8,7,173,172,178,172
70,171,178,8,5,172,172,178,168
71,172,177,7,5,171,172,177,168
72,174,176,7,6,170,172,176,168
73,173,174,7,7,170,172,176,167
74,172,174,7,8,170,173,177,169
75,173,173,7,8,170,175,177,171
76,173,173,7,7,170,175,177,171
77,172,175,7,7,171,176,178,171
78,172,177,6,7,171,175,178,172
79,171,178,4,7,171,175,178,174
80,171,177,4,7,171,175,179,176
81,171,176,4,8,172,175,179,178
82,172,176,4,8,171,176,178,180
83,173,175,5,7,170,177,178,179
84,173,174,5,7,172,176,179,180
85,173,174,5,7,172,175,179,180
86,173,174,5,8,172,174,179,180
87,172,174,7,8,173,174,179,180
88,172,174,6,9,174,173,180,179
89,174,179,6,11,177,173,176,179
90,174,179,6,13,177,173,176,180
91,173,180,6,12,178,173,176,180
92,175,179,6,12,178,173,177,180
93,176,174,6,10,179,171,179,180
94,176,174,4,10,179,170,179,179
95,173,173,4,9,179,169,180,175
96,172,174,5,7,177,170,179,173
97,173,175,3,7,177,171,179,174
98,172,178,4,8,175,174,178,178
99,171,180,4,8,176,174,179,180
100,173,179,3,10,178,174,179,180
101,173,178,3,13,178,173,178,180
102,175,176,2,13,178,173,178,180
103,176,176,3,15,178,173,180,180
104,175,173,4,14,176,173,180,180
105,174,171,5,10,175,173,179,176
106,175,173,5,7,175,172,179,173
107,175,178,5,7,175,172,179,174
108,174,177,4,6,178,170,180,175
109,173,179,2,11,179,167,180,176
110,168,179,1,14,175,164,179,176
111,172,179,3,17,172,161,179,176
112,174,179,6,20,169,156,178,173
113,172,178,8,23,165,151,177,170
114,173,179,11,25,159,147,174,167
115,171,178,15,28,152,141,169,165
116,168,177,22,34,144,131,167,159
117,167,178,30,43,136,119,167,151
118,169,180,39,54,129,108,167,145
119,169,180,44,58,120,98,163,121
120,168,180,50,60,112,92,161,126
121,168,179,55,63,105,82,160,120
122,164,180,57,63,101,77,163,117
123,162,179,58,66,98,75,160,121
124,163,177,61,69,93,72,157,117
125,166,176,71,69,84,69,157,117
126,166,180,79,73,75,69,157,125
127,169,180,81,78,75,59,157,124
128,169,180,84,80,73,54,157,123
129,170,178,87,81,73,54,160,123
130,166,178,84,82,72,54,159,122
131,165,179,83,88,67,50,157,121
132,165,179,83,87,71,59,160,131
133,162,180,75,82,71,69,155,140
134,165,176,52,71,90,81,153,150
135,161,175,33,54,114,101,163,159
136,162,172,12,34,137,118,170,161
137,160,170,1,23,144,132,160,165
138,166,166,6,12,159,145,170,169
139,168,166,7,7,167,154,172,170
140,169,167,8,6,173,160,174,170
141,169,169,10,5,180,167,177,173
142,170,170,10,5,178,171,178,175
143,171,169,9,5,178,173,177,177
144,171,169,9,5,175,175,180,178
145,172,170,8,5,173,175,178,176
146,172,171,8,5,174,175,179,176
147,170,174,9,6,173,177,179,178
148,170,175,9,6,173,178,180,180
149,171,177,8,7,174,178,179,180
150,171,177,8,6,174,178,179,180
151,171,174,8,5,173,178,180,180
152,171,175,8,5,172,179,179,180
153,171,175,7,5,172,179,178,180
154,171,176,7,5,172,179,178,180
155,172,176,7,5,172,179,179,180
156,172,178,7,6,172,179,179,179
157,172,179,7,6,171,180,178,178
158,171,180,7,7,171,180,178,177
159,171,180,7,7,171,180,178,177
160,170,180,7,7,171,179,178,177
161,172,180,6,7,171,179,178,177
162,173,180,5,7,171,179,178,177
163,173,180,5,7,171,180,178,177
164,172,180,5,7,172,180,178,178
165,172,180,6,7,172,180,178,178
166,171,179,6,5,172,180,178,178
167,171,179,6,6,172,180,178,178
168,172,179,6,6,172,180,178,178
169,172,180,6,6,172,180,178,177
170,172,180,6,7,172,180,178,177
171,172,179,6,7,171,180,178,176
172,172,179,6,8,171,180,178,176
173,172,179,6,8,171,180,178,176
174,171,179,6,8,171,180,178,176
175,171,179,6,8,171,180,178,177
176,172,179,6,8,171,180,178,177
177,172,179,6,8,171,180,178,177
178,172,180,6,7,171,180,178,177
179,172,180,6,7,171,180,178,177
180,173,180,5,7,171,180,178,177
181,173,180,5,7,171,180,178,177
182,173,180,5,7,171,180,178,177
183,173,180,5,7,171,180,178,177
184,173,180,5,7,171,180,178,177
185,173,180,5,7,171,180,178,177
186,173,180,5,7,172,180,179,177
187,173,180,5,7,172,180,179,177
188,173,180,5,8,173,180,179,177
