,1,2,3,4,5,6,7,8
0,142,179,113,121,73,91,45,50
1,142,180,113,121,73,88,45,47
2,141,178,112,120,73,86,45,45
3,140,179,111,121,73,90,45,50
4,141,180,112,121,73,91,45,51
5,143,180,113,121,73,90,45,49
6,148,180,116,122,73,88,45,47
7,155,180,121,123,73,89,45,48
8,159,179,123,122,72,91,45,50
9,159,179,123,122,72,91,45,51
10,157,180,123,122,72,91,45,51
11,157,180,123,122,72,91,45,51
12,156,180,124,122,71,91,45,51
13,157,180,125,122,71,91,45,51
14,158,180,125,122,71,90,45,51
15,157,179,125,122,72,91,45,51
16,157,179,126,123,72,90,45,52
17,157,179,126,123,72,90,45,52
18,157,179,127,123,72,90,45,52
19,157,179,126,123,72,90,45,52
20,156,179,126,123,72,90,45,52
21,155,179,125,123,72,90,45,52
22,155,178,125,123,71,90,45,52
23,155,178,125,123,71,90,45,52
24,155,178,126,123,71,90,45,52
25,154,178,127,123,71,90,45,52
26,155,179,128,124,71,90,45,51
27,155,179,128,124,71,90,45,51
28,155,179,129,124,71,90,45,51
29,156,179,130,124,71,90,45,51
30,155,178,130,124,71,90,45,51
31,155,178,130,124,71,90,45,51
32,155,179,130,124,71,90,45,51
33,156,179,130,124,71,90,45,51
34,156,179,130,124,71,90,45,51
35,156,178,130,124,71,90,45,51
36,156,178,130,124,71,90,45,51
37,156,178,130,124,71,90,45,51
38,156,178,130,124,70,90,45,51
39,155,179,130,124,70,90,45,51
40,153,179,129,125,70,90,45,51
41,147,179,125,128,70,90,45,51
42,140,175,119,135,70,91,46,51
43,135,165,111,146,70,92,47,53
44,132,151,103,159,70,94,47,53
45,129,121,96,170,69,95,47,52
46,125,90,89,136,68,95,46,52
47,120,80,80,122,68,95,46,52
48,110,69,66,107,69,95,46,53
49,101,67,55,101,70,95,46,54
50,96,65,50,96,70,95,46,54
51,94,64,47,93,70,95,46,54
52,94,64,46,92,71,95,46,54
53,94,65,45,92,71,95,46,54
54,94,68,45,92,71,95,46,54
55,94,69,45,92,71,95,46,54
56,94,70,45,92,71,95,46,54
57,94,70,45,92,71,95,46,54
58,96,69,47,92,71,95,46,54
59,98,67,49,92,70,95,46,54
60,107,65,60,97,70,95,46,54
61,124,86,79,116,70,96,46,54
62,133,103,91,141,70,96,47,54
63,138,150,97,167,70,97,48,55
64,144,167,104,147,71,96,48,53
65,152,170,114,141,71,93,47,52
66,155,176,120,134,70,92,47,51
67,155,179,123,130,70,91,46,51
68,159,179,126,126,69,91,45,51
69,159,178,130,125,68,91,44,51
70,159,176,132,124,68,91,44,51
71,156,177,131,124,68,91,44,50
72,155,178,132,124,69,91,44,50
73,156,178,134,124,69,91,44,50
74,157,178,135,123,69,90,44,50
75,157,178,136,123,69,90,45,50
76,156,178,136,124,69,90,45,50
77,156,178,136,124,69,89,45,50
78,156,178,136,124,69,89,44,50
79,156,178,136,124,69,89,44,50
80,156,178,136,125,68,89,44,49
81,156,178,136,125,68,89,44,49
82,156,178,136,125,68,89,44,49
83,155,178,135,125,68,89,44,49
84,153,177,133,126,68,89,44,50
85,152,176,131,127,68,89,44,50
86,149,179,127,132,68,89,44,50
87,145,172,119,143,68,89,45,50
88,142,162,114,155,67,91,45,52
89,141,144,107,172,68,94,46,52
90,136,129,99,172,69,96,46,52
91,133,113,94,148,70,98,46,53
92,131,96,88,127,72,99,46,55
93,125,90,77,116,73,98,46,55
94,114,88,63,107,74,97,46,55
95,107,88,55,102,75,97,47,55
96,102,87,49,98,74,97,46,55
97,104,87,51,97,74,96,45,54
98,106,87,52,98,74,96,45,54
99,109,87,56,98,73,96,45,54
100,115,89,63,103,73,96,45,54
101,128,99,79,121,72,96,46,54
102,138,128,94,159,72,98,46,55
103,142,159,101,162,72,97,47,53
104,150,175,110,144,71,95,46,51
105,156,177,119,137,71,93,46,50
106,156,180,122,131,71,92,46,49
107,160,178,127,127,70,92,45,49
108,162,176,130,123,70,91,44,49
109,161,174,131,120,70,91,44,49
