,1,2,3,4,5,6,7,8
0,149,79,86,76,158,173,155,134
1,146,79,85,76,157,173,156,134
2,145,79,85,76,157,173,156,133
3,145,79,84,76,157,173,156,133
4,144,79,85,77,159,173,153,135
5,144,79,85,78,160,175,152,137
6,144,79,86,78,160,175,152,137
7,145,78,85,78,160,175,152,139
8,145,78,85,78,160,174,151,140
9,145,78,84,78,160,174,151,140
10,145,78,84,78,160,174,151,139
11,149,78,85,77,160,174,150,138
12,152,78,86,77,161,174,150,137
13,152,77,86,77,161,175,150,134
14,153,77,85,78,160,176,150,132
15,153,77,85,78,159,176,149,129
16,154,77,86,77,159,176,147,127
17,151,76,84,76,159,175,144,126
18,149,75,83,75,159,175,143,124
19,151,73,82,74,159,175,144,124
20,150,67,80,71,158,175,145,124
21,155,65,80,70,158,174,144,124
22,150,65,77,69,159,174,141,123
23,148,65,75,69,159,174,139,122
24,148,65,76,68,160,174,138,122
25,154,67,79,69,159,173,139,122
26,161,68,83,69,158,172,140,123
27,145,68,83,68,159,171,139,123
28,145,69,84,69,158,171,140,123
29,146,70,85,69,158,171,141,123
30,145,71,85,70,157,170,142,124
31,147,73,85,70,156,170,144,125
32,148,73,85,70,156,171,145,125
33,151,74,85,71,156,172,146,125
34,153,75,85,72,156,172,147,125
35,155,75,85,72,156,173,147,125
36,156,75,85,72,156,173,147,126
37,156,75,84,73,156,173,147,126
38,158,76,85,73,157,173,147,126
39,158,76,85,73,157,173,146,126
40,157,76,85,73,157,173,146,126
41,156,76,84,73,158,173,146,126
42,156,76,84,73,157,173,147,126
43,157,76,84,73,157,173,147,127
44,157,76,84,73,157,173,147,126
45,156,76,85,73,158,173,145,126
46,158,76,85,73,159,173,140,122
47,159,75,86,73,159,173,135,116
48,158,75,85,73,155,174,133,107
49,162,75,86,73,151,174,134,103
50,164,75,86,73,150,173,129,101
51,165,74,85,73,150,171,125,98
52,163,74,84,71,149,169,122,97
53,154,73,80,70,148,167,120,94
54,152,73,78,69,145,167,121,91
55,151,73,77,68,141,166,123,89
56,151,73,77,66,136,165,124,86
57,151,74,76,65,136,164,120,84
58,152,73,76,65,138,165,115,82
59,149,73,76,66,141,165,108,81
60,147,72,76,66,141,166,108,79
61,138,72,74,67,145,167,100,75
62,134,72,72,67,146,169,95,72
63,140,72,75,67,146,169,91,69
64,141,72,75,68,146,169,90,67
65,144,72,75,67,143,168,90,68
66,145,73,75,68,145,168,89,68
67,145,73,75,68,144,169,90,68
68,144,73,75,68,143,169,92,68
69,143,73,75,68,143,169,93,69
70,145,73,76,68,143,169,94,69
71,146,73,76,69,144,170,92,68
72,146,73,77,69,144,170,90,65
73,149,72,78,70,144,172,87,63
74,152,72,80,71,146,174,85,61
75,152,71,80,72,147,175,84,61
76,153,71,80,72,147,175,85,62
77,154,71,80,72,150,175,86,64
78,154,71,80,71,151,173,89,68
79,152,70,80,71,152,171,92,71
80,150,70,79,71,153,170,93,73
81,149,70,79,70,151,169,98,76
82,150,69,79,70,148,169,104,77
83,151,69,79,70,141,170,115,79
84,152,69,80,70,139,170,119,80
85,152,69,80,70,138,170,122,81
86,150,69,80,70,136,170,127,83
87,150,69,80,70,136,170,128,84
88,151,69,80,70,141,170,125,84
89,155,70,81,71,142,170,123,85
90,156,70,81,70,144,171,123,87
91,155,70,81,70,145,171,124,88
92,153,70,82,70,146,171,123,90
93,151,70,82,70,148,171,122,90
94,150,70,83,70,150,171,122,92
95,152,70,83,70,150,171,125,95
96,155,70,84,71,149,170,127,97
97,157,70,85,71,149,170,129,98
98,156,70,85,71,149,170,130,100
99,156,69,85,71,149,169,131,102
100,156,69,84,71,150,169,131,104
101,156,69,84,71,150,169,131,105
102,156,69,85,72,150,169,133,107
103,155,69,84,72,151,170,134,108
104,157,69,84,72,152,171,134,109
105,158,69,84,72,152,171,134,110
106,157,69,84,72,152,171,135,111
107,155,69,83,72,152,171,136,112
108,153,69,83,72,152,171,137,113
109,152,69,82,72,151,171,140,114
110,151,69,82,72,150,171,142,117
111,153,69,82,71,151,171,142,119
112,154,69,81,71,151,170,144,121
113,154,69,81,71,150,169,145,124
114,154,69,81,71,150,169,148,126
115,154,69,81,71,149,168,150,127
116,154,69,81,71,149,168,154,130
117,153,69,81,71,149,167,156,133
118,153,69,81,71,149,167,157,134
119,153,70,81,71,149,166,158,136
120,154,70,81,72,149,166,160,138
121,154,70,81,71,150,166,161,139
122,153,70,81,71,150,166,161,139
123,153,70,81,71,150,166,161,139
124,153,70,81,71,149,167,156,134
125,153,70,81,72,148,168,148,125
126,154,70,82,72,151,170,134,110
127,154,71,83,72,151,170,129,105
128,152,71,83,72,149,167,126,103
129,152,71,83,71,145,167,124,98
130,152,70,83,71,145,167,123,94
131,152,70,82,69,144,168,120,89
132,151,70,81,69,138,167,125,87
133,152,69,81,69,135,168,125,85
134,150,69,80,69,139,168,116,80
135,147,69,80,70,145,168,105,78
136,145,69,78,70,144,168,96,74
137,145,69,78,71,145,170,91,71
138,145,69,78,71,146,170,91,70
139,145,69,78,71,147,171,88,69
140,145,69,78,71,147,171,88,68
141,145,69,78,72,149,172,86,68
142,145,69,78,72,149,172,87,68
143,145,69,78,72,149,172,88,68
144,145,69,78,71,148,171,89,69
145,145,69,78,71,148,171,91,70
