,1,2,3,4,5,6,7,8
0,47,1,19,55,148,168,97,112
1,52,3,6,55,150,169,97,115
2,40,4,8,55,151,170,96,116
3,36,6,14,55,151,169,96,115
4,43,6,8,55,151,169,96,115
5,52,5,2,55,151,166,96,109
6,56,4,5,55,151,169,96,114
7,38,4,9,56,151,167,96,109
8,38,4,20,57,151,166,95,108
9,42,4,11,57,151,165,95,108
10,59,3,1,58,152,166,95,108
11,59,3,5,58,151,166,95,108
12,58,2,13,57,150,166,95,107
13,56,2,18,57,149,167,95,107
14,57,2,17,56,148,169,95,108
15,58,2,12,56,148,169,94,109
16,57,2,20,56,148,168,94,108
17,57,2,9,58,149,167,94,107
18,58,2,10,57,150,168,94,107
19,61,2,14,57,150,169,94,109
20,64,1,15,57,150,170,94,110
21,62,1,16,57,150,170,94,109
22,59,1,13,56,150,170,94,111
23,57,1,12,56,150,172,95,114
24,58,1,12,54,149,171,94,112
25,60,1,10,54,150,171,94,109
26,57,1,8,55,150,168,93,107
27,58,1,6,56,150,166,93,104
28,58,1,8,56,150,166,93,104
29,60,1,8,56,151,165,93,103
30,62,1,11,56,151,166,93,104
31,62,1,10,56,151,167,94,105
32,62,1,7,56,152,167,94,105
33,62,2,10,56,152,167,94,105
34,58,2,16,56,152,168,95,106
35,60,1,14,56,152,168,95,106
36,60,2,14,56,151,168,95,106
37,62,2,12,56,151,168,95,106
38,62,2,11,57,151,169,94,106
39,64,2,11,57,150,170,94,108
40,65,1,9,56,150,170,94,108
41,62,2,4,56,151,171,94,109
42,56,1,17,55,151,170,95,108
43,52,3,21,54,149,161,95,99
44,60,1,29,38,149,159,96,97
45,91,77,58,47,149,155,94,93
46,108,161,74,115,149,160,94,97
47,127,172,92,134,147,157,94,94
48,135,175,99,133,147,155,94,91
49,145,177,108,133,147,153,94,91
50,152,177,113,133,146,154,94,95
51,155,177,116,133,146,158,94,100
52,159,178,118,132,146,158,94,101
53,162,179,120,132,146,159,94,102
54,165,180,123,131,146,159,94,101
55,168,180,125,131,145,158,94,101
56,170,180,127,131,145,158,94,101
57,171,179,128,131,145,158,94,102
58,171,178,128,131,145,160,95,103
59,170,178,128,131,145,162,95,106
60,170,178,128,131,145,165,95,109
61,170,178,129,131,145,166,95,110
62,170,179,129,131,145,172,95,120
63,170,179,129,131,145,172,95,121
64,170,179,129,131,145,169,95,112
65,170,179,129,132,144,166,95,109
66,171,179,129,132,144,165,95,107
67,171,179,130,132,144,164,94,107
68,171,179,130,132,144,164,94,107
69,171,179,130,132,144,164,94,107
70,171,179,130,132,144,164,94,107
71,170,180,129,132,143,164,94,107
72,170,179,129,132,144,163,94,106
73,170,179,129,132,144,161,94,104
74,170,178,129,132,144,160,94,103
75,169,179,127,132,144,160,94,103
76,167,180,125,134,143,159,94,102
77,163,178,122,135,143,159,94,102
78,159,178,119,135,144,160,93,103
79,157,178,116,135,145,159,93,101
80,152,178,112,136,145,157,93,100
81,146,165,106,136,145,155,93,97
82,138,176,101,134,145,154,93,95
83,133,178,97,138,145,156,93,96
84,130,177,93,144,144,155,93,96
85,123,22,87,57,145,157,93,99
86,114,16,78,51,145,157,94,101
87,107,15,71,53,147,158,95,103
88,99,7,63,52,148,161,97,107
89,87,3,52,52,148,161,97,107
90,72,2,38,51,148,161,97,105
91,67,1,35,51,148,161,97,104
92,59,1,28,51,148,164,97,106
93,57,1,26,52,149,164,97,106
94,56,1,23,53,150,169,97,111
95,53,2,16,54,150,175,96,117
96,53,2,14,54,150,176,96,118
97,51,2,9,55,150,176,95,118
98,50,2,8,55,150,176,95,118
99,53,3,7,55,151,176,94,118
100,56,3,7,55,152,176,94,118
101,57,2,7,56,152,175,94,116
102,59,2,5,57,152,173,94,115
103,62,2,4,57,152,172,93,113
104,62,2,6,57,152,172,93,114
105,64,1,5,57,152,172,93,114
106,65,1,3,56,152,170,93,112
107,61,1,9,57,151,169,93,111
108,55,2,13,57,150,169,93,110
109,50,7,20,60,146,162,93,102
110,65,1,32,38,148,158,94,97
111,93,81,59,50,147,155,94,96
112,124,156,90,122,144,154,93,94
113,139,179,104,135,143,154,92,95
114,149,176,111,138,144,153,92,94
115,156,178,117,137,144,153,93,95
116,161,179,121,136,145,157,93,100
117,166,180,125,134,144,156,94,98
118,169,179,127,133,144,156,94,98
119,170,179,128,132,143,156,94,98
120,171,179,129,132,143,158,94,100
121,172,179,129,132,143,163,94,106
122,172,179,129,132,143,165,95,108
123,172,179,130,132,143,166,95,109
124,172,179,130,132,143,167,95,109
125,171,179,129,132,143,166,94,108
126,171,179,129,131,143,165,94,107
127,171,179,129,131,143,163,94,106
128,170,179,129,131,143,162,94,104
129,169,178,128,132,143,162,94,104
130,167,179,126,132,143,161,94,103
131,164,180,124,133,143,161,94,103
132,160,180,122,134,144,161,94,103
133,159,180,119,135,144,160,93,102
134,157,180,117,135,145,159,93,100
135,151,179,112,135,145,160,93,101
136,145,177,105,136,145,160,93,101
137,140,177,101,136,145,161,93,102
138,133,168,95,130,145,163,93,103
139,127,155,89,123,145,163,93,103
140,117,116,80,83,146,164,94,106
141,109,25,72,4,147,161,94,105
142,85,3,48,30,150,169,97,117
143,75,3,40,47,149,163,97,109
144,67,3,34,51,148,167,97,116
145,56,2,24,51,149,160,97,103
146,54,3,21,51,148,165,98,108
147,53,4,19,51,149,167,98,110
148,54,3,13,53,151,172,97,114
149,53,1,8,54,152,174,97,117
150,58,1,6,55,152,180,96,126
151,59,1,3,55,153,177,95,120
152,61,2,3,57,153,175,95,116
153,60,2,3,57,152,174,94,115
154,51,2,2,57,151,174,93,114
155,54,2,1,57,150,174,92,114
156,58,1,3,57,150,173,92,114
157,60,2,4,57,150,174,93,114
158,60,2,10,57,151,173,95,114
159,58,3,23,57,147,170,95,112
160,60,11,31,51,147,155,95,97
161,71,22,40,8,148,152,95,94
162,101,48,70,18,146,152,94,96
163,124,174,93,132,145,153,93,95
164,139,176,107,136,145,153,94,95
165,153,177,117,136,145,156,94,99
166,159,178,122,136,145,162,94,104
167,165,179,125,136,145,165,94,107
168,169,180,128,135,145,167,95,110
169,169,180,129,134,144,168,95,110
170,169,180,129,133,144,168,95,110
171,169,180,129,133,144,167,94,109
172,169,180,129,133,143,161,94,104
173,169,180,129,133,143,161,94,103
174,170,180,130,133,143,160,94,103
175,169,180,129,133,143,160,94,102
176,169,180,129,133,143,159,94,102
177,169,180,129,133,143,159,94,102
178,169,180,129,133,143,159,94,101
179,169,180,129,133,143,159,94,102
180,168,180,129,133,143,159,95,101
181,167,180,128,134,144,158,95,101
182,165,180,126,134,144,158,95,100
183,162,179,124,135,143,157,94,99
184,159,178,121,136,144,156,94,98
185,156,178,118,136,145,156,94,98
186,155,178,116,136,145,156,94,97
187,151,176,113,136,146,155,94,96
188,144,176,108,136,146,156,94,98
189,138,177,100,133,147,159,94,100
190,127,167,90,129,146,159,94,99
191,121,173,86,134,146,158,94,99
192,115,175,79,139,146,158,94,100
193,97,6,60,26,147,157,94,100
194,84,2,45,34,149,154,97,97
195,73,8,38,53,149,154,97,99
196,63,5,30,54,149,152,98,97
197,57,4,23,54,150,154,98,98
198,57,3,20,56,150,163,98,107
199,56,2,15,56,151,173,97,116
200,57,1,9,57,153,174,96,118
201,64,2,3,58,153,174,96,116
202,65,1,5,58,153,173,95,113
203,61,2,1,59,152,172,94,113
204,63,2,2,59,151,172,93,112
205,64,1,7,59,152,172,94,112
206,56,1,15,59,149,170,94,111
207,56,5,22,62,147,161,94,102
208,73,8,38,27,147,151,94,93
209,104,41,69,12,146,148,94,93
210,120,146,86,115,146,149,94,92
211,139,176,103,136,146,153,94,94
212,151,176,112,136,147,153,94,94
213,157,177,118,135,147,154,94,96
214,162,179,122,134,146,155,95,98
215,166,180,126,132,146,155,94,98
216,169,179,128,132,144,155,94,98
217,169,179,128,132,143,154,93,98
218,170,179,129,132,143,154,93,97
219,170,179,129,132,143,154,93,97
220,170,178,129,132,143,154,93,97
221,170,178,129,132,143,154,93,97
222,170,178,129,132,143,155,93,97
223,170,178,128,132,143,154,93,97
224,169,178,128,132,143,155,93,97
225,169,178,128,132,143,165,93,112
226,169,178,128,132,143,168,93,115
227,168,178,128,132,142,168,93,115
228,167,178,128,132,142,163,93,107
229,166,178,127,133,142,156,93,97
230,163,179,124,133,142,154,93,95
231,159,179,120,134,143,154,92,95
232,157,180,118,134,144,154,92,94
233,154,180,115,135,144,153,92,94
234,150,179,112,135,145,154,92,94
235,144,167,107,135,144,154,92,95
236,134,179,97,135,145,155,92,94
237,131,171,95,131,144,155,93,95
238,124,171,88,128,145,156,93,95
239,119,163,83,123,146,158,94,98
240,102,22,64,7,148,156,93,97
241,87,1,49,35,149,154,95,96
242,76,10,39,49,149,155,95,98
243,64,8,31,56,149,155,96,98
244,59,5,27,56,150,154,97,96
245,54,2,22,56,150,156,97,97
246,54,1,19,56,150,159,97,101
247,51,1,14,58,151,164,97,107
248,54,2,9,59,153,171,97,112
249,62,3,5,59,154,172,96,112
250,64,1,7,59,154,171,95,112
251,53,1,1,59,153,171,94,111
252,56,1,3,59,152,171,93,111
253,58,1,2,58,152,170,93,111
254,59,1,3,58,152,170,93,110
255,57,1,5,58,152,169,94,110
256,54,6,23,62,148,164,94,104
257,72,20,38,66,148,158,94,98
258,109,105,73,70,147,154,93,94
259,124,173,88,126,147,152,93,92
260,139,178,104,132,146,151,93,91
261,152,177,113,136,147,150,94,90
262,157,179,117,136,147,151,94,91
263,164,180,122,135,146,151,94,92
264,167,179,125,134,146,151,94,93
265,169,177,127,133,146,154,94,95
266,170,178,128,132,145,156,95,98
267,171,178,129,132,145,157,95,99
268,171,178,129,132,145,158,94,100
269,171,178,129,132,145,158,94,100
270,172,178,129,131,145,159,94,100
271,172,179,129,131,145,160,94,101
272,172,179,129,131,145,160,94,101
273,172,179,129,131,146,160,94,101
274,171,179,129,131,146,160,94,101
275,171,178,128,131,146,160,94,101
276,169,179,128,131,145,161,94,102
277,167,179,126,132,145,160,94,101
278,162,180,123,134,144,160,94,101
279,159,179,120,135,145,160,94,101
280,156,179,118,135,145,159,94,101
281,155,179,116,135,146,158,94,100
282,151,178,113,135,146,157,94,98
283,144,178,107,135,146,156,94,97
284,136,179,98,133,147,157,94,97
285,129,170,91,130,147,156,94,95
286,122,171,86,132,146,156,94,96
287,116,158,80,123,146,157,94,98
288,95,13,55,19,149,155,94,96
289,80,4,42,37,150,155,96,98
290,70,7,35,51,149,154,97,97
291,58,3,26,52,148,155,97,97
292,53,2,20,52,149,158,97,100
293,54,1,19,53,149,162,98,103
294,54,1,14,55,151,165,97,107
295,52,2,11,56,152,166,97,108
296,57,3,7,58,154,170,97,111
297,60,3,8,59,154,172,96,112
298,66,1,9,59,153,173,95,113
299,71,1,7,64,152,177,94,113
300,51,1,2,63,152,176,93,112
301,55,1,2,62,150,175,92,112
302,60,1,5,59,150,172,92,111
303,60,1,14,58,151,167,94,107
304,58,5,26,59,149,160,94,99
305,66,2,34,34,148,154,94,93
306,105,79,71,47,147,153,94,93
307,122,155,87,122,146,151,93,91
308,135,171,101,137,146,152,94,91
309,151,173,113,136,147,152,94,91
310,156,174,116,136,147,153,94,94
311,163,177,122,134,147,155,94,96
312,167,180,126,132,146,153,94,95
313,170,180,128,131,146,155,94,97
314,172,179,129,131,146,156,94,99
315,172,179,129,131,146,156,95,99
316,172,180,130,131,146,157,95,100
317,172,180,130,131,146,158,95,101
318,172,180,130,131,146,158,95,101
319,172,180,130,131,146,158,95,100
320,172,180,130,131,146,157,95,100
321,172,180,130,131,146,159,95,102
322,172,180,129,131,146,159,95,102
323,172,180,129,131,146,159,95,102
324,171,180,129,131,146,160,95,102
325,171,180,129,131,146,160,95,102
326,169,179,128,132,146,159,95,102
327,167,179,126,133,146,159,95,100
328,164,180,124,134,146,159,95,100
329,161,180,122,134,146,159,95,100
330,158,180,119,134,147,158,95,100
331,156,179,116,134,147,158,95,99
332,153,179,113,135,148,157,95,98
333,147,177,108,135,147,157,95,98
334,139,180,101,132,147,158,95,98
335,131,178,93,125,147,153,94,92
336,125,172,88,131,147,153,93,93
337,122,177,86,148,146,153,93,95
338,113,6,77,38,146,153,94,95
339,99,12,63,46,147,152,95,96
340,88,8,51,51,149,153,96,96
341,73,3,37,52,150,155,97,98
342,64,2,30,52,150,161,97,104
343,61,1,26,53,150,166,97,108
344,57,2,19,55,150,166,97,109
345,56,2,16,57,151,167,97,110
346,56,1,11,58,152,172,97,114
347,63,1,8,57,154,172,96,113
348,57,1,6,58,153,172,95,113
349,61,1,7,58,153,174,95,114
350,62,1,8,58,153,174,95,114
351,61,2,8,57,153,175,95,115
352,61,2,7,57,152,175,94,115
353,58,2,8,57,152,173,94,113
354,57,3,25,58,147,164,94,105
355,63,7,32,59,147,157,94,98
356,100,10,66,28,147,156,95,97
357,116,141,82,107,146,151,94,93
358,129,170,93,134,146,151,94,91
359,146,175,108,136,146,150,94,91
360,154,177,114,136,147,149,94,90
361,160,177,120,136,146,150,94,92
362,165,178,124,134,146,154,94,97
363,169,180,127,132,146,158,94,101
364,172,180,129,131,146,159,95,103
365,173,180,130,131,146,158,95,101
366,173,180,129,131,146,158,95,101
367,173,180,130,131,146,159,95,102
368,173,180,130,131,145,159,95,102
369,173,180,130,131,145,160,94,102
370,173,180,130,131,144,160,94,103
371,173,180,130,131,144,160,94,103
372,173,180,130,131,144,160,94,103
373,173,180,130,131,144,160,94,103
374,171,180,129,131,144,159,93,102
375,170,180,128,131,144,158,93,101
376,169,180,127,132,144,158,93,101
377,167,179,126,132,144,158,93,100
378,165,179,125,132,145,158,93,100
379,163,179,124,133,144,157,93,100
380,161,179,122,135,144,157,93,100
381,157,179,120,135,144,156,93,99
382,155,179,117,136,145,155,93,97
383,154,178,115,136,145,155,93,97
384,149,177,111,136,146,155,93,96
385,147,173,109,136,146,153,93,93
386,142,177,104,137,147,157,93,96
387,136,171,98,130,147,158,93,97
388,131,164,94,126,146,158,93,97
389,124,171,88,150,145,158,93,98
390,115,19,78,54,146,157,93,99
391,105,13,67,49,146,158,94,101
392,87,11,48,52,149,158,95,102
393,80,10,42,58,150,158,96,102
394,66,6,29,58,150,158,96,102
395,63,5,27,58,150,159,96,102
396,58,3,22,58,150,164,96,108
397,57,2,16,59,150,168,96,111
398,56,1,9,60,151,173,95,115
399,65,3,8,60,153,171,95,112
400,65,3,7,60,153,171,95,112
401,46,1,6,61,151,171,93,111
402,50,1,1,61,151,170,93,111
403,49,1,1,60,150,170,92,110
404,40,2,7,60,150,170,92,110
405,43,2,7,60,150,170,93,110
406,45,2,3,60,150,170,93,110
