,1,2,3,4,5,6,7,8
0,176,176,23,11,146,156,148,152
1,177,175,10,10,141,147,142,143
2,173,171,1,12,134,141,130,136
3,170,171,10,13,129,130,122,123
4,171,171,11,13,128,129,121,120
5,166,171,15,13,127,127,119,116
6,168,172,12,12,125,124,115,112
7,170,171,10,12,123,123,113,109
8,168,172,10,11,122,115,111,101
9,166,173,11,11,122,106,110,93
10,168,174,8,11,121,106,110,99
11,170,174,7,11,123,111,108,119
12,170,174,7,11,126,116,112,129
13,168,173,8,12,126,121,112,136
14,169,173,8,12,126,120,111,135
15,173,173,7,12,126,121,110,136
16,174,173,6,12,126,121,111,136
17,171,174,6,12,126,123,112,139
18,171,174,6,11,125,126,108,145
19,170,175,7,11,116,127,100,146
20,170,175,7,11,101,127,91,145
21,171,175,8,11,103,128,107,147
22,171,175,8,11,108,127,118,146
23,169,175,8,11,118,127,135,145
24,168,176,7,10,124,126,142,144
25,170,176,6,10,126,124,146,141
26,169,176,7,10,124,123,143,140
27,170,175,6,10,123,121,142,138
28,172,175,6,11,122,120,140,135
29,173,175,6,11,121,120,138,133
30,172,175,7,11,121,119,136,133
31,170,175,7,12,118,117,131,130
32,172,175,7,14,116,117,127,127
33,169,176,8,15,116,117,124,123
34,167,176,7,15,115,116,123,121
35,169,177,7,15,114,117,123,122
36,169,177,8,14,114,117,122,123
37,168,177,8,14,114,117,122,123
38,168,177,8,14,113,117,121,123
39,169,176,8,14,112,117,120,123
40,168,174,8,15,108,113,117,119
41,172,168,7,19,102,108,110,113
42,175,163,5,23,98,106,106,111
43,173,157,6,26,91,99,99,105
44,175,149,7,31,83,89,90,94
45,174,143,8,36,76,83,82,87
46,175,136,7,41,67,75,74,79
47,172,132,8,44,64,70,71,75
48,171,127,8,48,61,69,68,75
49,169,121,11,53,58,65,65,72
50,166,117,15,56,54,61,63,70
51,163,109,16,62,48,57,58,68
52,163,105,16,65,46,54,57,65
53,162,101,17,67,45,52,57,63
54,162,99,16,69,44,50,56,62
55,162,98,16,70,44,49,56,61
